sentence	entity	entity_tag	label	source	file
Грузия исправно выполняет свои обязательства в качестве союзника США.	Грузия	COUNTRY	1	AUTHOR_POS/AUTHOR_NEG	12896_text
Это был первый случай, когда сирийская армия обстреляла предполагаемых повстанцев в Ливане, который старается соблюдать нейтралитет в гражданской войне в Сирии.	Ливане	COUNTRY	1	AUTHOR_POS/AUTHOR_NEG	27496_text
Понятно, что Германия никогда не пойдёт на поводу у террористов, но если ничего в течение указанных сроков не произойдёт, то угрозы исламских террористов перестанут восприниматься всерьёз.	Германия	COUNTRY	1	AUTHOR_POS/AUTHOR_NEG	8155_text
Гражданин Беларуси, проживающий в США, приговорен к 41 месяцу заключения за участие в интернет-мошенничестве; накануне, 23 2 июня 2011 года, окружной федеральный суд штата Массачусетс приговорил к 41 месяцам тюрьмы проживающего в Нантакете (штат Массачусетс) гражданина Беларуси.	Гражданин Беларуси	NATIONALITY	-1	AUTHOR_POS/AUTHOR_NEG	14672_text
Особенно агрессивно и, можно сказать, беспечно с первых минут матча атаковали чехи.	чехи	NATIONALITY	-1	AUTHOR_POS/AUTHOR_NEG	18950_text
Однако россиянам откровенно не везло.	россиянам	NATIONALITY	-1	AUTHOR_POS/AUTHOR_NEG	18972_text
В июле два армянина и грузин ограбили церковь под Переславлем-Залесским, тогда же город наводнили цыгане-попрошайки, занимающиеся также торговлей наркотиками и мошенничеством.	цыгане	NATIONALITY	-1	AUTHOR_POS/AUTHOR_NEG	4327_text
Речь идет о скандальном деле Mediaset, в рамках которого Берлускони обвинялся в масштабных финансовых махинациях.	Mediaset	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	04_12_12g
В начале 2015 года его завербовал сторонник ИГИЛ.	ИГИЛ	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	102645_text
С 2014 года ИГИЛ считается одной из главных угроз международной безопасности.	ИГИЛ	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	102645_text
По разным оценкам, контролируемая ИГИЛ территория достигает до 90 тысяч квадратных километров.	ИГИЛ	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	102645_text
Организаторами экспозиции являются отделение испанского банка ''La Caixa'' — ''Obra Social La Caixa'', шотландская компания ''Nomad Exhibitions'' и ''Museo de Nankin'', чьи старания позволили выставке путешествовать по миру.	Obra Social La Caixa	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	103125_text
Организаторами экспозиции являются отделение испанского банка ''La Caixa'' — ''Obra Social La Caixa'', шотландская компания ''Nomad Exhibitions'' и ''Museo de Nankin'', чьи старания позволили выставке путешествовать по миру.	Nomad Exhibitions	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	103125_text
Организаторами экспозиции являются отделение испанского банка ''La Caixa'' — ''Obra Social La Caixa'', шотландская компания ''Nomad Exhibitions'' и ''Museo de Nankin'', чьи старания позволили выставке путешествовать по миру.	Museo de Nankin	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	103125_text
Отличие этих сайтов состоит в том, что голосования на change.org не защищены от накруток, и один и тот же человек может голосовать за петицию неоднократно, и, кроме того, на сайте могут голосовать люди со всего мира, а на сайте РОИ голосовать могут только те, кто кто прошёл авторизацию на сайте gosuslugi.ru.	РОИ	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	103597_text
Как сообщило министерство юстиции США, американец из штата Северная Каролина был арестован в четверг по обвинению в заговоре с целью оказания материальной поддержки террористической организации «Исламское государство».	Исламское государство	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	104434_text
Программа льготного кредитования «MicroBank», созданная «CaixaBank» для развития малого и среднего бизнеса, а также для личных потребительских нужд испанцев, принесла положительные плоды.	MicroBank	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	104872_text
Программа льготного кредитования «MicroBank», созданная «CaixaBank» для развития малого и среднего бизнеса, а также для личных потребительских нужд испанцев, принесла положительные плоды.	CaixaBank	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	104872_text
Это связано с публикацией скандальной подборам электронных писем Национального комитета Демократической партии, после которой его председатель Дебби Вассерман-Шульц была вынуждена уйти в отставку.	Национального комитета Демократической партии	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	107891_text
В США скончалась Джанет Рено — первая женщина, ставшая генеральным прокурором страны, и оказавшаяся в центре нескольких политических скандалов, сопровождавших работу администрации президента Билла Клинтона.	администрации президента Билла Клинтона	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	108694_text
Прошло чуть больше месяца после её вступления в должность, и Рено оказалась втянута в спорную ситуацию со штурмом здания с членами секты «Ветвь Давидова» в окрестностях Уэйко.	Ветвь Давидова	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	108694_text
Алгоритмы искусственного интеллекта, разработанные командой Google DeepMind в сотрудничестве с учёными Оксфордского университета, превзошли человека в умении понимать речь наблюдением артикуляции говорящего.	Google DeepMind	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	109373_text
"Большинство при голосовании в чешском парламенте, таким образом, решает то ""болото"", что осталось от правоцентристской партии ""Дела общественные"" (Veci verejne)."	Дела общественные	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	1109
С самого начал сборная Россия продемонстрировала отменный настрой на игру и заметное невооружённым глазом превосходство в классе.	сборная Россия	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	11694_text
Сообщивший эту новость «Голос Америки» решил умолчать про гибель трёх военнослужащих грузинской армии''Минобороны: Трое погибли и 13 ранены в результате взрыва 120 мм мины'', «Грузия Online», 11.01.2011..	Голос Америки	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	12896_text
В свою очередь, повстанческое движение «Талибан», взявшее ответственность за атаку, называет более высокую цифру погибших — «семь иностранных захватчиков».	Талибан	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	129439_text
Председатель влиятельного Комитета по иностранным делам стал первым представителем властных структур США, посещающим Исламабад после ликвидации 2 мая американским спецназом лидера Аль-Кайды Усамы бин Ладена.	Комитета по иностранным делам	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	13744_text
Одно из преимуществ Canucks в том, что их состав «глубже» — уровень игроков третьего и четвертого звена «Касаток» повыше, и это привело к успеху в регулярном сезоне.	Canucks	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	14000_text
Эти незабываемые выходные подарили северодвинцам обладатель гранта «Молодежь Поморья 2012-2014» Архангельская региональная общественная организация «Федерация восточного танца Поморья» и РОО Архангельское объединение авторской куклы «Кукольный домик», которое, в эти дни, представило на суд зрителей выставку авторских кукол «1000 и одна сказка».	Архангельская региональная общественная организация «Федерация восточного танца Поморья	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	18724_text
Эти незабываемые выходные подарили северодвинцам обладатель гранта «Молодежь Поморья 2012-2014» Архангельская региональная общественная организация «Федерация восточного танца Поморья» и РОО Архангельское объединение авторской куклы «Кукольный домик», которое, в эти дни, представило на суд зрителей выставку авторских кукол «1000 и одна сказка».	РОО Архангельское объединение авторской куклы «Кукольный домик»	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	18724_text
"Сторонники «Исламского государства» жестоко убили туристок в Марокко

24-летняя Луиза Вестерагер Йесперсен и 28-летняя Марен Уеланд были жестоко убиты в Марокко сторонниками «Исламского государства»."	Исламского государства	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	202294_text
«Зенит» начал матч с напористой атаки и мог забить мяч уже на 4-й минуте.	Зенит	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	21435_text
Возможно, дело в том, что о рокировке Пейджа и Шмидта Google сообщил одновременно с публикацией финансовых итогов года.	Google	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	221
Ведь именно в этих странах проживает аудитория, которая до сих пор не выходит в Сеть, а значит - не пользуется Google.	Google	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	221
"Сами справитесь

Эрик Шмидт ушел с поста гендиректора Google

Эрик Шмидт, возглавлявший в течение последних 10 лет крупнейшую интернет-компанию мира, объявил о своем уходе с поста гендиректора Google."	Google	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	221
"Шутка ли, за то время, пока он стоял у руля, Google превратился в наиболее популярный поисковик в мире, ""заразил"" интернет-сообщество просмотром видеороликов на YouTube и выпустил мобильную ОС Android, которая в ближайшее время наверняка станет самой популярной мобильной платформой в мире."	Google	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	221
Все-таки он прошел под знаменем соцсети Facebook, основатель которой Марк Цукерберг стал человеком года по версии влиятельного американского журнала Time.	Facebook	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	221
Facebook уже обошел Google по общему объему интернет-трафика и стремительно догоняет по количеству пользователей.	Facebook	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	221
CITIC играла важную роль в интеграции Китая в мировые финансовые рынки, она остаётся одним из крупнейших держателей иностранных активов.	CITIC	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	231153_text
Главная задача «World Press Photo» — поддержка профессиональной пресс-фотографии на международном уровне для того, чтобы стимулировать изменения в фотожурналистике, поддержать передачу знаний, выявить высокие профессиональные стандарты в фотожурналистике и содействовать свободному и неограниченному обмену информацией.	World Press Photo	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	25830_text
Тем не менее правительство Москвы не согласовало мирный протест граждан и жестоко разогнало вышедших на акцию.	правительство Москвы	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	304703_text
"Журнал Rolling Stone под огнём критики за фото Царнаева
Журнал Rolling Stone с фотографией Джохара Царнаева на обложке еще не появился в продаже, но уже навлек на себя жёсткую критику."	Rolling Stone	ORGANIZATION	-1	AUTHOR_POS/AUTHOR_NEG	39824_text
Особо радует презентация команды Рабобанк, в которой явный лидер и надежда гонки - россиянин Денис Меньшов.	Рабобанк	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	7465_text
Все это время музыка ''Rolling Stones'' была запрещена на коммунистическом острове, потому что она считалась подрывающей устои социализма, однако в пятницу вечером эта группа дала исторический, бесплатный концерт в Гаване, на котором присутствовали до полумиллиона ликующих поклонников.	Rolling Stones	ORGANIZATION	1	AUTHOR_POS/AUTHOR_NEG	99855_text
"По данным журнала Forbes, в марте 2011 г. состояние Берлускони оценивалось в 7,8 млрд долл.

Скандально известная фигура в стране - Берлускони многократно обвинялся в финансовых аферах, коррупции, даче взяток госчиновникам, участии в сексуальных скандалах, привлекался к суду."	Берлускони	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	04_12_12g
Речь идет о скандальном деле Mediaset, в рамках которого Берлускони обвинялся в масштабных финансовых махинациях.	Берлускони	PERSON	-1	AUTHOR_POS/AUTHOR_NEG	04_12_12g
"На выборах Берсани обошел мэра Флоренции Маттео Ренци, считающегося одним из наиболее заметных политиков ""новой волны"" в Италии."	Маттео Ренци	PERSON	1	AUTHOR_POS/AUTHOR_NEG	04_12_12g
Владелец кафе Йохен Шарф не только принял под своё крыло необычных посетителей, но и принял самое деятельное участие в процессе, снабжая занятых рукоделием горячим шоколадом.	Йохен Шарф	PERSON	1	AUTHOR_POS/AUTHOR_NEG	10110_text
