sentence	entity	label	source
"Сюжет:
 В далёком поселении людей наступает Рождество и Доктор прячется от колядок и забавных головных уборов Но когда экипаж потерпевшего крушение корабля обращается к нему за помощью Доктор вместе с отрядом Ривер Сонг бросается в стремительную и безумную гонку по галактике Король Гидрофлакс в ярости его огромный робот телохранитель вышел из под контроля и собирается всех прикончить Удастся ли Нардолу выжить И когда Ривер наконец узнает Доктора Всё выяснится на звёздном лайнере полном галактических суперзлодеев в пункте назначения которого Доктор очень долго избегал 

«Доктор Кто» (Doctor Who) — культовый британский научно-фантастический телесериал компании «Би-би-си» о загадочном инопланетном путешественнике во времени, известном как Доктор."	Доктор	1	AUTHOR_POS/AUTHOR_NEG
"Великий хоккейный защитник Никлас Лидстрём заявил о завершении спортивной карьеры


Шведский защитник ''Detroit Red Wings'' Никлас Лидстрём принял решение завершить карьеру в возрасте 42 лет."	Никлас Лидстрём	1	AUTHOR_POS/AUTHOR_NEG
Первой в списке стоит книга «Уроки корпоративной Америки», написанная главой Berkshire Hathaway Уорреном Баффетом.	Уроки корпоративной Америки	1	AUTHOR_POS/AUTHOR_NEG
Заключённый одной из тюрем Огайо, Клэренс Картер, 49 лет, был казнён во вторник за то, что избил до смерти своего сокамерника.	Клэренс Картер	1	AUTHOR_POS/AUTHOR_NEG
Клэренс Картер – третий за этот год заключённый, казнённый в штате Огайо.	Картер	-1	AUTHOR_POS/AUTHOR_NEG
Клэренс Картер был приговорён к смерти в 2007, но тогда приговор не был приведён в исполнение из-за пересмотра ряда вопросов о конституционности смертельной инъекции как формы смертной казни.	Картер	-1	AUTHOR_POS/AUTHOR_NEG
Однако в конце первого сета слово взяла лидер команды и её капитан Мария Борисенко, вдохновившая своих подруг.	Мария Борисенко	1	AUTHOR_POS/AUTHOR_NEG
Газета «Дэйли Майл» сообщает о планах Эндрю Ллойда Вебера (Andrew Lloyd Webber) написать мюзикл, основанный на романе «Мастер и Маргарита».	Мастер и Маргарита	1	AUTHOR_POS/AUTHOR_NEG
"300-летие Балыкинской чудотворной иконы Божией Материслева|Балыкинская икона из Свято-Введенского монастыря в Орле



13 июня исполнилось 300 лет почитания чудотворной иконы Божией Матери, называемой Балыкинской."	иконы Божией Матери	1	AUTHOR_POS/AUTHOR_NEG
Народному артисту СССР Владимиру Этушу исполнилось 95 лет	Владимиру Этушу	1	AUTHOR_POS/AUTHOR_NEG
Её название «За целесообразное жизнеобеспечение» заимствовано из буддистской философии, согласно которой каждый человек отвечает за свои действия и должен брать из земных источников не более того, что ему необходимо для жизнеобеспечения.	За целесообразное жизнеобеспечение	1	AUTHOR_POS/AUTHOR_NEG
В 2009 году на фестивале к 100-летию Жака Тати изображение сигареты во рту знаменитого режиссёра заменили рисунком маленькой ветряной мельницы.	Жака Тати	1	AUTHOR_POS/AUTHOR_NEG
"На сцене балет хореографа Бориса Эйфмана «Анна Каренина»
13—14 января Государственный академический театр «Московская оперетта» даёт премьеру — балет Бориса Эйфмана «Анна Каренина»."	Анна Каренина	1	AUTHOR_POS/AUTHOR_NEG
Искусственный интеллект Google DeepMind научился читать по губам лучше человека	Google DeepMind	1	AUTHOR_POS/AUTHOR_NEG
Ранее система глубинного, или глубокого обучения (алгоритмы, которые учат нейросети «думать» и выстраивать логические цепочки), разработанная исследователями из Оксфорда, также превзошла человека на тесте GRID.	исследователями	1	AUTHOR_POS/AUTHOR_NEG
3 декабря 2018 года рэпер FakTyrA выпустил сингл «Психопат».	Психопат	-1	AUTHOR_POS/AUTHOR_NEG
"Умер талантливый музыкант Павел Смеян
11 июля в одной из онкологических клиник Германии на 53-м году жизни скончался артист Ленкома Павел Смеян."	Павел Смеян	1	AUTHOR_POS/AUTHOR_NEG
"Всемирный день вязания в БенратеКафе ""Шоко-Ладен"" в Бенрате
12 июня празднуется Всемирный день вязания."	Всемирный день вязания	1	AUTHOR_POS/AUTHOR_NEG
"Голливуд планирует снять четыре фильма об основателе WikiLeaks

В Голливуде запускаются сразу четыре проекта посвящённые основателю скандально известного интернет-ресурса WikiLeaks Джулиане Ассанже, сообщает NEWSru.com."	WikiLeaks	-1	AUTHOR_POS/AUTHOR_NEG
"В Петербурге рухнула крыша гипермаркета
Пресс-служба городского управления МЧС сообщила, что накануне вечером в 20:34 в гипермаркете «Окей», расположенном на севере Санкт-Петербурга обрушилась кровля на площади около 500 кв. м над торговым залом магазина."	обрушилась кровля	-1	AUTHOR_POS/AUTHOR_NEG
Фильм снят по книге Эндрю Ходжеса «Алан Тьюринг: Энигма» и описывает жизнь и работу знаменитого английского математика Алана Тьюринга, который помог взломать код немецкой шифровальной машины Энигма во время Второй мировой войны.	Алана Тьюринга	1	AUTHOR_POS/AUTHOR_NEG
Насер стал вторым гражданином Индии, которому предъявили обвинения в намерении присоединиться к ИГИЛ.	ИГИЛ	-1	AUTHOR_POS/AUTHOR_NEG
Владимир Макеенко	Макеенко	-1	AUTHOR_POS/AUTHOR_NEG
69-летний Керри выполнял несколько важных дипломатических миссий при администрации Обамы.	Керри	1	AUTHOR_POS/AUTHOR_NEG
Легендарный баскетболист Коби Брайант разбился на своём вертолёте	баскетболист	1	AUTHOR_POS/AUTHOR_NEG
"Журнал Rolling Stone под огнём критики за фото Царнаева
Журнал Rolling Stone с фотографией Джохара Царнаева на обложке еще не появился в продаже, но уже навлек на себя жёсткую критику."	Rolling Stone	-1	AUTHOR_POS/AUTHOR_NEG
По крайней мере пять розничных сетей, имеющих широкое представительство в Новой Англии, объявили об отказе продавать журнал со статьей, в которой анализируется как привлекательный и любимый всеми окружающими подросток обратился к радикальному исламу.	радикальному исламу	-1	AUTHOR_POS/AUTHOR_NEG
В 1986 Корасон Акино возглавила народное восстание поддержанное военными, которое привело к бегству из страны президента-диктатора Фердинанда Маркоса, находившегося у власти с 1965 года.	Акино	1	AUTHOR_POS/AUTHOR_NEG
В 1986 Корасон Акино возглавила народное восстание поддержанное военными, которое привело к бегству из страны президента-диктатора Фердинанда Маркоса, находившегося у власти с 1965 года.	Фердинанда Маркоса	-1	AUTHOR_POS/AUTHOR_NEG
Речь идет о скандальном деле Mediaset, в рамках которого Берлускони обвинялся в масштабных финансовых махинациях.	Mediaset	-1	AUTHOR_POS/AUTHOR_NEG
"Берлускони также отрицает обвинения в сексе с несовершеннолетней проституткой, известной под прозвищем ""Руби""."	Берлускони	-1	AUTHOR_POS/AUTHOR_NEG
Правоцентристы, в свою очередь, стали обвинять Земана в том, что президент втягивает страну в затяжной политический кризис.	президент	-1	AUTHOR_POS/AUTHOR_NEG
Нынешний политический кризис в Бразилии угрожает дестабилизировать крупнейшую в Латинской Америке экономику, которая переживает рецессию, в то время как в стране идут приготовления к проведению летних Олимпийских игр в Рио-де-Жанейро в августе этого года.	политический кризис	-1	AUTHOR_POS/AUTHOR_NEG
Задержанный подал иск в суд, к нему присоединились и другие жертвы политики Арпайо.	Арпайо	-1	AUTHOR_POS/AUTHOR_NEG
