sentence	entity	label	source
Группировка ИГИЛ ведёт свою историю с 2006 года и действует на территории Ирака и Сирии, также она пытается распространить свое влияние в Северной Африке.	ИГИЛ	-1	AUTHOR_POS/AUTHOR_NEG
Организаторами экспозиции являются отделение испанского банка ''La Caixa'' — ''Obra Social La Caixa'', шотландская компания ''Nomad Exhibitions'' и ''Museo de Nankin'', чьи старания позволили выставке путешествовать по миру.	Obra Social La Caixa	1	AUTHOR_POS/AUTHOR_NEG
Организаторами экспозиции являются отделение испанского банка ''La Caixa'' — ''Obra Social La Caixa'', шотландская компания ''Nomad Exhibitions'' и ''Museo de Nankin'', чьи старания позволили выставке путешествовать по миру.	Nomad Exhibitions	1	AUTHOR_POS/AUTHOR_NEG
36-летний Эрик Хендрикс обвиняется в попытке вербовки людей для подготовки и проведения терактов в Соединенных Штатах от имени ИГИЛ.	Эрик Хендрикс	-1	AUTHOR_POS/AUTHOR_NEG
По данным следствия, в 2015 году Хендрикс связался через социальные сети с конфиденциальным осведомителем, сообщив, что «ему нужны люди», и что он «хотел бы, чтобы братья тренировались вместе».	Хендрикс	-1	AUTHOR_POS/AUTHOR_NEG
Согласно сообщению, Хендрикс находился в контакте с Элтоном Симпсоном, который в апреле 2015 года осуществил закончившуюся провалом попытку нападения на место проведения этого конкурса в Гарленде, штат Техас.	Элтоном Симпсоном	-1	AUTHOR_POS/AUTHOR_NEG
Согласно сообщению, Хендрикс находился в контакте с Элтоном Симпсоном, который в апреле 2015 года осуществил закончившуюся провалом попытку нападения на место проведения этого конкурса в Гарленде, штат Техас.	Хендрикс	-1	AUTHOR_POS/AUTHOR_NEG
Как сообщило министерство юстиции США, американец из штата Северная Каролина был арестован в четверг по обвинению в заговоре с целью оказания материальной поддержки террористической организации «Исламское государство».	Исламское государство	-1	AUTHOR_POS/AUTHOR_NEG
"В своем микроблоге в Twitter он написал:


Дарио Фо (, 24 марта 1926 года, Санджано, Италия) — итальянский драматург, режиссёр, теоретик сценического мастерства, живописец."	Дарио Фо	1	AUTHOR_POS/AUTHOR_NEG
В заявлении Нобелевского комитета было сказано, что премия Фо присуждается за то, что он, наследуя средневековым шутам, порицает власть и авторитет и защищает достоинство угнетаемых.	Фо	1	AUTHOR_POS/AUTHOR_NEG
Это связано с публикацией скандальной подборам электронных писем Национального комитета Демократической партии, после которой его председатель Дебби Вассерман-Шульц была вынуждена уйти в отставку.	Национального комитета Демократической партии	-1	AUTHOR_POS/AUTHOR_NEG
Одна из самых узнаваемых и противоречивых фигур в администрации Клинтона, Рено уже в самом начале работы в качестве генпрокурора столкнулась с критикой в связи со штурмом поместья в Уэйко, штат Техас, где находились члены секты «Ветвь Давидова» во главе с её лидером Дэвидом Корешом.	Рено	1	AUTHOR_POS/AUTHOR_NEG
Одна из самых узнаваемых и противоречивых фигур в администрации Клинтона, Рено уже в самом начале работы в качестве генпрокурора столкнулась с критикой в связи со штурмом поместья в Уэйко, штат Техас, где находились члены секты «Ветвь Давидова» во главе с её лидером Дэвидом Корешом.	Рено	-1	AUTHOR_POS/AUTHOR_NEG
Рено санкционировала применение слезоточивого газа, чтобы прекратить противостояние, и позднее назвала эти события худшим днём в её жизни.	Рено	-1	AUTHOR_POS/AUTHOR_NEG
В США скончалась Джанет Рено — первая женщина, ставшая генеральным прокурором страны, и оказавшаяся в центре нескольких политических скандалов, сопровождавших работу администрации президента Билла Клинтона.	Джанет Рено	-1	AUTHOR_POS/AUTHOR_NEG
Весной 2000 года Рено санкционировала вооруженный захват пятилетнего мальчика Элиана, что возмутило американцев кубинского происхождения из её родного города.	Рено	-1	AUTHOR_POS/AUTHOR_NEG
Алгоритмы искусственного интеллекта, разработанные командой Google DeepMind в сотрудничестве с учёными Оксфордского университета, превзошли человека в умении понимать речь наблюдением артикуляции говорящего.	Google DeepMind	1	AUTHOR_POS/AUTHOR_NEG
Ранее система глубинного, или глубокого обучения (алгоритмы, которые учат нейросети «думать» и выстраивать логические цепочки), разработанная исследователями из Оксфорда, также превзошла человека на тесте GRID.	исследователями	1	AUTHOR_POS/AUTHOR_NEG
Сбылись прогнозы тех политических обозревателей, которые предсказывали, что властный по своей натуре Земан не станет довольствоваться чисто декоративной ролью президента Чехии, а попробует сыграть свою собственную партию в чешской политике.	президент	-1	AUTHOR_POS/AUTHOR_NEG
Правоцентристы, в свою очередь, стали обвинять Земана в том, что президент втягивает страну в затяжной политический кризис.	президент	-1	AUTHOR_POS/AUTHOR_NEG
"Формально он хочет сформировать под своей эгидой техническое правительство из ""специалистов"", которые на ключевых постах означают людей Земана."	Земана	-1	AUTHOR_POS/AUTHOR_NEG
Решение гражданскими демократами было найдено быстро и единогласно, точно так же, как и получено согласие непосредственно Мирославы Немцовой.	Немцовой	1	AUTHOR_POS/AUTHOR_NEG
С самого начал сборная Россия продемонстрировала отменный настрой на игру и заметное невооружённым глазом превосходство в классе.	сборная Россия	1	AUTHOR_POS/AUTHOR_NEG
"Владимир Этуш в 1943 году
Владимир Путин в Владимир Этуш
В субботу, 6 мая 2017 года, народному артисту СССР, лауреату Государственной премии РФ Владимиру Этушу исполнилось 95 лет."	Владимиру Этушу	1	AUTHOR_POS/AUTHOR_NEG
Высочайшего уровня техника и хореография Бориса Эйфмана передают все психологические перипетии романа Толстого.	Бориса Эйфмана	1	AUTHOR_POS/AUTHOR_NEG
Альбом ''Double Fantasy'' Джона Леннона и его супруги Йоко Оно, который британский рок-музыкант подписал для Марка Чепмена, ставшего через несколько часов его убийцей, выставлен на продажу в США.	Марка Чепмена	-1	AUTHOR_POS/AUTHOR_NEG
Арпайо ожидал приговора, он мог быть приговорен к лишению свободы сроком на 6 месяцев.	Арпайо	-1	AUTHOR_POS/AUTHOR_NEG
В понедельник Джаред Лофнер в наручниках и в сопровождении нескольких охранников доставлен в суд в города Феникс.	Джаред Лофнер	-1	AUTHOR_POS/AUTHOR_NEG
Лофнер предстал перед судом через два дня после стрельбы в Тусоне.	Лофнер	-1	AUTHOR_POS/AUTHOR_NEG
До вынесения приговора Картер содержался  в тюрьме города Цинциннати, Огайо.	Картер	-1	AUTHOR_POS/AUTHOR_NEG
Он уступает лишь легендарному Крису Челиосу, который всего два года назад играл с Red Wings в финале, а еще за год до этого выиграл Кубок (ему было, соответственно, 47 и 46 лет).	Крису Челиосу	1	AUTHOR_POS/AUTHOR_NEG
Для Canucks очень важным может стать нейтрализация капитана и лидера Bruins — Здено Хары.	Здено Хары	1	AUTHOR_POS/AUTHOR_NEG
Интересна дуэль вратарей: один из лучших канадских вратарей (Роберто Люонго) встретится с одним из лучших американских (Тим Томас).	Тим Томас	1	AUTHOR_POS/AUTHOR_NEG
Одно из преимуществ Canucks в том, что их состав «глубже» — уровень игроков третьего и четвертого звена «Касаток» повыше, и это привело к успеху в регулярном сезоне.	Canucks	1	AUTHOR_POS/AUTHOR_NEG
Гражданин Беларуси, проживающий в США, приговорен к 41 месяцу заключения за участие в интернет-мошенничестве; накануне, 23 2 июня 2011 года, окружной федеральный суд штата Массачусетс приговорил к 41 месяцам тюрьмы проживающего в Нантакете (штат Массачусетс) гражданина Беларуси.	Гражданин Беларуси	-1	AUTHOR_POS/AUTHOR_NEG
Cаманте Стосур — девятой ракетке мира потребовалось лишь 73 минуты, чтобы одержать победу над Уильямс со счетом 6:2, 6:3.	Уильямс	-1	AUTHOR_POS/AUTHOR_NEG
Cаманте Стосур — девятой ракетке мира потребовалось лишь 73 минуты, чтобы одержать победу над Уильямс со счетом 6:2, 6:3.	Стосур	1	AUTHOR_POS/AUTHOR_NEG
Сегодня был день Усика!	Усика	1	AUTHOR_POS/AUTHOR_NEG
Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.	Дидье Дрогба	1	AUTHOR_POS/AUTHOR_NEG
Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.	Саломон Калу	1	AUTHOR_POS/AUTHOR_NEG
Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.	Коло Туре	1	AUTHOR_POS/AUTHOR_NEG
Ещё бы, ведь в ней выступают такие звёзды современного футбола как Дидье Дрогба, Саломон Калу, Коло Туре, Яя Туре и другие.	Яя Туре	1	AUTHOR_POS/AUTHOR_NEG
В рамках деловой программы форума запланированы выступления: Бориса Наумова (вице-президент фонда «Сколково» по взаимодействию с органами власти и общественностью), Александра Доржиева (один из основателей сервиса «AlterGeo»), Юрия Ветрова (руководитель отдела проектирования и дизайна интерфейсов Mail.RU Group), Елены Алексеевой (директор по работе с институциональными инвесторами компании «Softline») и многие других авторитетных экспертов IT-рынка.	Бориса Наумова	1	AUTHOR_POS/AUTHOR_NEG
Бингу ва Мутарика стал президентом в 2004 году, в 2008 году был переизбран на второй срок.	Бингу ва Мутарика	1	AUTHOR_POS/AUTHOR_NEG
Особенно агрессивно и, можно сказать, беспечно с первых минут матча атаковали чехи.	чехи	-1	AUTHOR_POS/AUTHOR_NEG
В несколько быстрых касаний россияне Дзагоев, Зырянов и Кержаков вышли в контратаку.	Зырянов	1	AUTHOR_POS/AUTHOR_NEG
Однако россиянам откровенно не везло.	россиянам	-1	AUTHOR_POS/AUTHOR_NEG
"В проекте участвовали рэп исполнитель видеооператор Карина Куча звукорежиссер Ксения Абрамова в роли алиенистки Ярослава Клапрус в роли молодой девушки жертвы 

Вместе с треком Фактура анонсировал название следующего альбома — «ПрикуП»."	Фактура	-1	AUTHOR_POS/AUTHOR_NEG
Шекатт был убит на юге города, в районе Нойдорф, расположенном всего в двух километрах от места, где он напал на людей двумя днями ранее.	Шекатт	-1	AUTHOR_POS/AUTHOR_NEG
Во вторник, 11 декабря, Шериф Шекатт, прибыв на рождественскую ярмарку в центре Страсбурга, начал расстреливать прохожих из автоматического оружия.	Шериф Шекатт	-1	AUTHOR_POS/AUTHOR_NEG
Водитель Cadillac 31-летний Алексей Русаков с места преступления скрылся.	Алексей Русаков	-1	AUTHOR_POS/AUTHOR_NEG
